Date,adj close_tcs.ns,close_tcs.ns,high_tcs.ns,low_tcs.ns,open_tcs.ns,volume_tcs.ns,rsi
2025-01-17,4124.2998046875,4124.2998046875,4160.60009765625,4100.0498046875,4159.89990234375,1761466,49.432447186532
2025-01-20,4077.800048828125,4077.800048828125,4145.7998046875,4068.10009765625,4145.7998046875,1287799,45.309872450008946
2025-01-21,4035.85009765625,4035.85009765625,4111.0,4030.0,4095.300048828125,1971591,41.91378562737978
2025-01-22,4156.60009765625,4156.60009765625,4163.14990234375,4044.199951171875,4050.0,2409223,52.86515426676389
2025-01-23,4145.4501953125,4145.4501953125,4191.35009765625,4140.0498046875,4168.0,1822998,51.89225807863567
2025-01-24,4152.35009765625,4152.35009765625,4178.0,4104.0,4104.0,1910099,52.475131809426664
2025-01-27,4065.14990234375,4065.14990234375,4156.35009765625,4041.050048828125,4102.0,1551782,45.04692689066942
2025-01-28,4040.300048828125,4040.300048828125,4102.0,4028.300048828125,4070.800048828125,2468272,43.17142386488809
2025-01-29,4099.7998046875,4099.7998046875,4107.85009765625,4054.0,4054.0,1217089,48.68086975295127
2025-01-30,4100.0498046875,4100.0498046875,4129.89990234375,4058.5,4099.89990234375,1531251,48.70337270356784
2025-01-31,4112.39990234375,4112.39990234375,4128.4501953125,4085.25,4110.0,1492943,49.872735444616985
2025-02-01,4073.14990234375,4073.14990234375,4135.89990234375,4056.0,4113.0,437172,46.26320962439359
2025-02-03,4068.64990234375,4068.64990234375,4077.0,3998.699951171875,4030.89990234375,1265713,45.8534618257212
2025-02-04,4107.0498046875,4107.0498046875,4118.85009765625,4066.050048828125,4083.699951171875,2547132,49.92886513376656
2025-02-05,4091.10009765625,4091.10009765625,4150.0,4076.0,4150.0,1693912,48.30264952422422
2025-02-06,4082.75,4082.75,4139.5,4051.550048828125,4105.39990234375,2284536,47.43164946169824
2025-02-07,4029.39990234375,4029.39990234375,4090.0,4008.0,4090.0,1548940,42.19625415301871
2025-02-10,4036.949951171875,4036.949951171875,4052.0,4014.35009765625,4040.0,1339511,43.15254825756446
2025-02-11,3963.550048828125,3963.550048828125,4040.0,3955.0,4018.39990234375,1810908,36.78169452979859
2025-02-12,3950.14990234375,3950.14990234375,4021.75,3940.14990234375,3971.10009765625,1678002,35.74417748056214
2025-02-13,3910.14990234375,3910.14990234375,3984.449951171875,3902.25,3968.0,2277310,32.77245899154923
2025-02-14,3934.85009765625,3934.85009765625,3948.0,3900.0,3925.0,1681975,36.29457652917146
2025-02-17,3904.5,3904.5,3934.0,3856.199951171875,3856.5,1799806,33.94152033399966
2025-02-18,3873.199951171875,3873.199951171875,3924.39990234375,3864.5,3898.39990234375,2149879,31.661730469518318
2025-02-19,3784.10009765625,3784.10009765625,3874.949951171875,3768.14990234375,3872.199951171875,4366672,26.255438862192975
2025-02-20,3779.39990234375,3779.39990234375,3788.0,3751.300048828125,3761.5,2888572,26.003198150280397
2025-02-21,3786.0,3786.0,3817.0,3775.0,3776.10009765625,1833931,27.062851515489342
2025-02-24,3675.60009765625,3675.60009765625,3763.199951171875,3670.0,3743.14990234375,2508516,21.513269230135307
2025-02-25,3629.550048828125,3629.550048828125,3658.0,3621.25,3625.0,4101954,19.698712037369617
2025-02-27,3612.550048828125,3612.550048828125,3638.0,3600.699951171875,3611.699951171875,3823856,19.05959353099469
2025-02-28,3483.25,3483.25,3600.0,3457.0,3584.949951171875,7085018,15.05791022098434
2025-03-03,3493.050048828125,3493.050048828125,3523.25,3476.14990234375,3485.0,4990439,16.48906518282233
2025-03-04,3532.050048828125,3532.050048828125,3551.0,3464.300048828125,3474.0,2797737,22.113114348971806
2025-03-05,3547.050048828125,3547.050048828125,3600.35009765625,3520.85009765625,3520.85009765625,2501894,24.22676367536559
2025-03-06,3601.60009765625,3601.60009765625,3609.449951171875,3536.10009765625,3557.0,2786513,31.506361736272808
2025-03-07,3611.199951171875,3611.199951171875,3625.0,3574.39990234375,3600.0,2051315,32.73114639083744
2025-03-10,3589.64990234375,3589.64990234375,3622.10009765625,3582.60009765625,3606.5,1004626,31.374835366038496
2025-03-11,3575.300048828125,3575.300048828125,3588.75,3537.64990234375,3558.0,1995450,30.469423452769576
2025-03-12,3506.199951171875,3506.199951171875,3569.25,3486.85009765625,3565.0,3174167,26.503186008338787
2025-03-13,3511.050048828125,3511.050048828125,3524.300048828125,3484.10009765625,3502.300048828125,1693004,27.2193082431168
2025-03-17,3497.699951171875,3497.699951171875,3530.449951171875,3477.35009765625,3489.0,2690906,26.45521119708563
2025-03-18,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0,26.45521119708563
2025-03-19,3497.10009765625,3497.10009765625,3547.0,3462.75,3547.0,3051244,26.416567563411576
2025-03-20,3563.14990234375,3563.14990234375,3578.949951171875,3512.0,3512.0,2845192,37.280356453747224
2025-03-21,3578.10009765625,3578.10009765625,3616.25,3465.0,3475.0,4161925,39.45911959489861
2025-03-24,3628.949951171875,3628.949951171875,3649.75,3566.60009765625,3600.0,1834751,46.29296483564071
2025-03-25,3657.75,3657.75,3710.0,3638.0,3645.0,3135390,49.75250982284973
2025-03-26,3635.800048828125,3635.800048828125,3680.5,3625.85009765625,3647.75,1734499,47.25416207350589
2025-03-27,3651.199951171875,3651.199951171875,3663.0,3610.5,3614.85009765625,2528474,49.182231108496566
2025-03-28,3606.14990234375,3606.14990234375,3660.949951171875,3591.89990234375,3651.0,2051919,44.10335106172851
2025-04-01,3550.800048828125,3550.800048828125,3584.0,3525.0,3572.699951171875,2618493,38.80164376659929
2025-04-02,3543.949951171875,3543.949951171875,3564.10009765625,3530.050048828125,3544.0,1764313,38.18977785252663
2025-04-03,3403.14990234375,3403.14990234375,3502.0,3396.14990234375,3491.0,4537821,28.30848974306393
2025-04-04,3299.39990234375,3299.39990234375,3399.64990234375,3295.5,3362.60009765625,5317367,23.486238071423358
2025-04-07,3274.050048828125,3274.050048828125,3291.39990234375,3056.050048828125,3100.0,6623955,22.478666849381867
2025-04-08,3292.949951171875,3292.949951171875,3349.0,3255.300048828125,3302.050048828125,5557558,25.060004110068405
2025-04-09,3246.60009765625,3246.60009765625,3270.0,3212.050048828125,3260.550048828125,2990265,23.03431707947577
2025-04-11,3231.5,3231.5,3298.949951171875,3206.0,3289.550048828125,7108961,22.399077690713867
2025-04-15,3248.199951171875,3248.199951171875,3314.39990234375,3238.60009765625,3314.39990234375,3512160,24.866897960835374
2025-04-16,3273.800048828125,3273.800048828125,3278.10009765625,3229.0,3248.199951171875,2384391,28.61461713992972
2025-04-17,3298.89990234375,3298.89990234375,3303.60009765625,3218.0,3245.5,2932346,32.18625719087569
2025-04-21,3321.60009765625,3321.60009765625,3354.0,3284.10009765625,3290.10009765625,2432946,35.33730700713768
2025-04-22,3314.39990234375,3314.39990234375,3333.89990234375,3295.0,3322.60009765625,2710498,34.78518977997838
2025-04-23,3413.0,3413.0,3420.89990234375,3337.300048828125,3365.0,3543923,46.997822854861774
2025-04-24,3401.60009765625,3401.60009765625,3412.5,3387.699951171875,3401.10009765625,2252175,45.926947015549835
2025-04-25,3448.0,3448.0,3477.800048828125,3405.0,3420.0,2742991,50.837145934614846
2025-04-28,3443.5,3443.5,3457.800048828125,3405.0,3435.0,1593296,50.35952870698766
2025-04-29,3472.5,3472.5,3495.0,3430.39990234375,3455.0,1578332,53.39812090883313
2025-04-30,3453.699951171875,3453.699951171875,3509.89990234375,3366.0,3472.0,2809332,51.209682788098256
2025-05-02,3431.0,3431.0,3491.5,3420.0,3472.0,1721761,48.61871279965305
2025-05-05,3454.300048828125,3454.300048828125,3504.5,3446.39990234375,3450.0,1284443,51.34014606645703
2025-05-06,3460.0,3460.0,3473.0,3437.0,3460.0,1324763,52.009790621105005
2025-05-07,3445.10009765625,3445.10009765625,3459.5,3420.60009765625,3420.60009765625,1477128,50.07002903765425
2025-05-08,3448.89990234375,3448.89990234375,3477.0,3428.699951171875,3448.0,2543591,50.57627463787035
2025-05-09,3440.300048828125,3440.300048828125,3446.199951171875,3398.10009765625,3399.0,2531757,49.35655709870042
2025-05-12,3620.39990234375,3620.39990234375,3630.5,3502.199951171875,3505.0,2228678,67.19772782378264
2025-05-13,3515.0,3515.0,3623.0,3510.5,3620.39990234375,3062750,54.98860734380059
